StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,Q1,Q2,Q3,Q4,Q5_1,Q6,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_DO_1,Q8_DO_2,Q8_DO_3,Q8_DO_4,Q8_DO_5,Q8_DO_6,Q8_DO_7,Q8_DO_8,Q8_DO_9,Q8_DO_10,Q8_DO_11,Q8_DO_12,Q8_DO_13,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_DO_1,Q10_DO_2,Q10_DO_3,Q10_DO_4,Q10_DO_5,Q10_DO_6,Q10_DO_7,Q10_DO_8,Q10_DO_9,Q10_DO_10,Q10_DO_11,Q10_DO_12,Q10_DO_13,Q11,Q12_1_1,Q12_1_2,Q12_1_3,Q12_2_1,Q12_2_2,Q12_2_3,Q12_3_1,Q12_3_2,Q12_3_3,Q12_4_1,Q12_4_2,Q12_4_3,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q15,Q16,Q17_1,Q17_2,Q17_3,Q17_4,Q17_5,Q17_6,Q17_7,Q17_8,Q17_9,Q17_10,Q17_DO_1,Q17_DO_2,Q17_DO_3,Q17_DO_4,Q17_DO_5,Q17_DO_6,Q17_DO_7,Q17_DO_8,Q17_DO_9,Q17_DO_10,Q18_1,Q19_1,Q20_1,Q21_1,Q22_1,Q22_2,Q22_3,Q22_4,Q22_5,Q22_6,Q22_DO_1,Q22_DO_2,Q22_DO_3,Q22_DO_4,Q22_DO_5,Q22_DO_6,Q23_1,Q23_2,Q23_3,Q23_4,Q23_5,Q23_6,Q23_DO_1,Q23_DO_2,Q23_DO_3,Q23_DO_4,Q23_DO_5,Q23_DO_6,Q24_1,Q24_2,Q25_1,Q25_2,Q26_1,Q27_1,Q28_1,Q29_1,Q29_2,Q29_3,Q29_4,Q29_DO_1,Q29_DO_2,Q29_DO_3,Q29_DO_4,Q30_1,Q30_2,Q30_3,Q30_4,Q30_DO_1,Q30_DO_2,Q30_DO_3,Q30_DO_4,Q31_1,Q32_1,Q33_1,Q34_1,Q34_2,Q34_3,Q34_4,Q34_DO_1,Q34_DO_2,Q34_DO_3,Q34_DO_4,Q35_1,Q35_2,Q35_3,Q35_4,Q35_DO_1,Q35_DO_2,Q35_DO_3,Q35_DO_4,Q36_1,Q36_2,Q36_3,Q37_1,Q37_2,Q37_3,Q37_4,Q37_DO_1,Q37_DO_2,Q37_DO_3,Q37_DO_4,Q38_1,Q38_2,Q38_3,Q38_4,Q38_5,Q38_6,Q38_7,Q38_8,Q38_9,Q38_10,Q38_11,Q39_1,Q40_1,Q41,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q42_7,Q42_8,Q42_9,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q43_6,Q43_7,Q43_8,Q43_9,Q44_1,Q44_2,Q44_3,Q45_1,Q45_2,Q45_3,Q45_4,Q45_5,Q46_1,Q47_1,Q48_1,Q48_2,Q48_3,Q48_4,Q50,Q51,Q52_1,Q52_2,Q52_3,Q52_4,Q52_5,Q53,Q54,Q54_8_TEXT,Q55,Q56_1,Q56_2,Q56_3,Q56_4,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q58,FL_23_DO_FTswithnothreat,FL_23_DO_FTswithStatusThreat,EizoNormBreaker_DO_Q16,EizoNormBreaker_DO_Q15,HeherHousing_DO_Q18,HeherHousing_DO_Q21,HeherHousing_DO_Q20,HeherHousing_DO_Q19,SexualAssaultExperiment_DO_Q23,SexualAssaultExperiment_DO_Q22,SexualAssaultScenarios_DO_Q25,SexualAssaultScenarios_DO_Q24,Hanora-Democrats_DO_Q28,Hanora-Democrats_DO_Q26,Hanora-Democrats_DO_Q27,Hanora-Dem-Followup_DO_Q30,Hanora-Dem-Followup_DO_Q29,HanoraExperiment_DO_Q33,HanoraExperiment_DO_Q32,HanoraExperiment_DO_Q31,Hanora-Rep-Followup_DO_Q35,Hanora-Rep-Followup_DO_Q34
10/30/2018 22:08,10/30/2018 22:13,100,302,1,10/30/2018 22:13,R_0dGZSmNijBj8AA9,1,5,5,3,43,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,87,13,10,2,12,26,13,23,10,13,6,14,14,13,3,1,8,10,11,4,6,12,5,9,2,7,7,,1,,,1,,,1,,,1,,4,1,1,1,2,1,2,,3,1,1,1,1,1,1,1,1,1,1,1,7,10,6,5,9,4,3,2,8,,,29,,3,3,2,3,2,3,4,2,1,5,6,3,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,49,,1,1,1,1,3,2,4,1,,,,,,,,,1,1,1,1,1,1,1,1,2,3,4,,,,,,1,,,,,,1,7,2,5,5,3,6,4,5,4,6,4,1,,,1,,,,,1,,100,,1,1,1,1,1,88,3.7,,,,,1,1,,,,1,,3,4,,4,1,1,1,1,,1,,,,,2,,1,1,,,,1,,,1,,1,,,,,,,1,,,1
10/30/2018 22:06,10/30/2018 22:14,100,482,1,10/30/2018 22:14,R_3Ny9Mgovgwh2bLc,1,3,1,3,61,1,2,15,50,50,30,44,60,50,50,39,50,50,50,80,10,13,5,11,4,9,7,3,8,2,12,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,,,,,,,,,,,1,2,2,2,2,2,2,,3,2,1,1,4,5,5,5,5,3,4,8,9,5,1,7,6,3,4,2,10,,56,,,,,,,,,,,,,,,,6,,5,8,7,4,3,5,2,6,1,3,4,,,,,15,,,,,,,,,2,3,2,3,3,1,2,4,,,,,,,,,,,,,,,,,,,,3,2,2,1,1,3,5,3,1,2,4,,,,1,1,,,,,,,2,1,2,6,3,3,7,1,,1,0,3,,,,,,,,,,,,,1,2,2,2,2,86,3.2,94,,95,,2,1,,,,1,,2,4,,3,,,,,1,,,,,,1,1,,1,,,,,1,1,,,1,1,,,1,,,,,,
10/30/2018 22:06,10/30/2018 22:15,100,517,1,10/30/2018 22:15,R_2ahN63618Gdz1mk,1,4,5,3,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,50,29,27,36,47,83,49,70,43,56,68,56,67,8,3,5,4,12,6,9,11,7,2,13,1,10,2,,,,,,,,,,,,,4,2,2,2,2,2,2,3,,3,3,3,3,3,3,3,3,3,3,8,5,1,4,10,2,3,9,7,6,,,56,,6,5,6,5,5,6,4,1,5,2,3,6,,,,,,,,,,,,,,,3,3,,51,,,,,,,,,,3,3,3,3,3,4,2,1,,,,,,,,,,,,,,,,,,,,4,2,3,5,5,5,6,3,2,1,4,,,,,1,,,,,,,2,5,3,8,2,5,4,1,,2,,,,,,,,,,,,,,,2,2,2,2,2,34,3,,,,,2,1,,,,1,,3,4,,4,3,4,4,2,,,,,,1,1,,1,,1,,,1,,,1,1,,,,1,1,,,,,,
10/30/2018 22:05,10/30/2018 22:15,100,602,1,10/30/2018 22:15,R_wMpwjSavBjnUlVL,1,5,3,3,51,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,100,,,100,2,2,95,100,2,,,,,1,5,10,8,12,4,7,9,2,11,3,6,13,7,1,1,1,,,,,,,1,1,1,2,2,2,2,2,2,2,,1,2,4,4,1,3,3,5,3,3,3,1,8,9,2,4,5,7,10,6,3,12,,,,,,,,,,,,,,,,5,5,5,6,6,3,3,5,1,4,2,6,,,4,1,,,,,,,,,,,,,,,,,,,,,,21,4,2,3,3,3,2,1,4,,,,,,,,,2,3,3,4,4,5,4,1,3,4,2,1,,,,,,,,,,,4,1,3,7,2,3,,2,0,1,,2,,,,,,,,,,,,,2,2,2,2,2,71,3.5,53,,,,2,1,1,,,,,1,7,,4,3,3,2,6,,1,,,,,2,,1,1,,1,,,,1,,1,,,,,,,1,,,,1
10/30/2018 22:07,10/30/2018 22:15,100,493,1,10/30/2018 22:15,R_1mdT06JDtV0bHlV,1,4,4,3,30,4,1,,,,57,47,,100,52,78,,,35,46,8,10,7,12,4,11,13,9,3,6,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,3,1,2,2,2,2,2,4,,3,3,3,3,3,3,3,3,3,3,10,3,7,2,9,4,6,8,1,5,,50,,,,,,,,,,,,,,,2,10,10,10,10,10,5,6,3,4,1,2,,,3,3,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,3,3,3,3,2,1,4,3,2,2,2,5,4,5,4,1,2,3,4,1,,,,,,,,,,,3,1,1,7,1,4,3,5,,1,,2,,,,,,,,,,,,,1,2,2,1,2,59,4,74,,52,65,2,1,1,,,,,5,8,,4,3,3,2,4,1,1,,,,,2,1,,,1,,,,1,1,,1,,,,,,,,1,,1,
10/30/2018 22:06,10/30/2018 22:16,100,589,1,10/30/2018 22:16,R_3lVvlqY0PIdL6Q3,1,4,4,3,40,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,45,49,49,75,60,42,80,62,63,60,65,49,49,9,7,4,8,1,11,2,6,13,3,10,12,5,5,,,,,,,,,,1,,,1,2,2,2,2,2,2,,3,2,2,3,2,4,3,3,2,4,3,4,10,7,6,3,1,2,5,9,8,,,,63,6,4,7,5,6,5,3,5,6,4,1,2,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,4,2,4,3,3,2,4,1,3,2,2,5,5,4,5,2,1,3,4,1,,,,,,,,,,,3,1,3,7,3,4,2,5,0,1,,1,,,,,,,,,,,,,1,1,2,1,2,70,1.7,100,100,100,100,1,1,1,,,,,3,5,,4,,,,,1,,,,,,2,,1,1,,,1,,,,1,1,,,,,,,,,1,1,
10/30/2018 22:07,10/30/2018 22:19,100,701,1,10/30/2018 22:19,R_2bPkGTRwhLwaFtu,1,4,2,1,26,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55,50,13,70,4,10,33,60,50,0,,75,85,12,6,7,2,8,11,5,4,1,13,10,9,3,,,,,,1,,,,,,,1,2,2,2,2,2,1,1,,4,3,2,2,4,4,3,5,4,1,5,10,4,2,6,3,1,5,8,7,9,,57,,,1,3,1,7,3,5,4,6,5,3,2,1,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,5,4,5,2,1,3,4,,1,,1,,1,,,,,1,4,2,1,7,2,4,5,1,,3,,3,,,,,,,,,,,,,1,2,2,2,2,82,3.2,75,78,78,71,1,1,1,,,,,4,6,,2,,,,,1,,,,,,2,,1,1,,,,,1,,1,1,,,,,,,,,,,
10/30/2018 22:06,10/30/2018 22:19,100,748,1,10/30/2018 22:19,R_3MagsBbDsjRwv8t,1,2,3,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,,51,0,57,80,92,42,61,6,0,6,0,6,4,2,13,1,11,8,10,7,3,12,5,9,3,1,1,1,,,,,,,1,1,,2,2,2,1,1,1,1,,5,1,2,2,3,3,5,2,5,1,5,5,6,8,9,4,2,1,3,7,10,,,,,,,,,,,,,,,,,10,2,8,5,10,10,4,1,6,2,5,3,2,1,,,,10,,4,3,3,4,1,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,2,2,6,5,3,2,1,4,,,,1,,,1,,,,,3,,3,6,1,5,6,1,,1,,1,,,,,,,,,,,,,1,1,1,1,1,94,2.9,,20,,90,2,1,1,,,,,1,1,,4,6,5,1,4,,,,,,1,2,,1,1,,,,,1,1,,,1,,,1,,1,,,,,
10/30/2018 22:07,10/30/2018 22:19,100,735,1,10/30/2018 22:19,R_2Qu0kzYoUAZvUnu,1,3,5,3,30,1,2,,0,15,7,25,15,31,6,20,,24,15,35,5,1,2,11,9,12,13,8,6,4,3,7,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,1,1,,,,,,,,,,4,2,2,2,2,1,2,4,,1,1,2,2,2,3,4,4,2,4,5,7,6,9,2,10,4,8,3,1,,,57,,4,10,9,10,6,7,1,6,4,5,2,3,,,,,,,,,,,,,,,2,3,26,,,,,,,,,,,4,3,3,4,2,1,4,3,,,,,,,,,,,,,,,,,,,,3,4,4,2,1,3,3,2,4,1,3,,,,1,,,,,,,1,1,1,2,6,2,4,6,,,2,,4,,,,,,,,,,,,,1,2,1,2,1,94,3.6,43,35,53,82,2,1,,,,1,,1,3,,3,3,4,3,5,1,1,,,,,2,1,,,1,,,1,,,1,1,,,1,,1,,,,,,
10/30/2018 22:07,10/30/2018 22:19,100,700,1,10/30/2018 22:19,R_2TTRT5K8M8jxTJE,1,4,1,1,70,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,50,12,70,79,90,46,56,42,50,45,87,11,10,9,12,1,3,4,7,5,13,2,8,6,2,1,,,,,,1,,,1,,,2,2,2,2,2,1,1,2,,2,2,1,3,2,5,3,5,4,3,10,5,9,7,2,4,1,6,8,3,50,,,,,,,,,,,,,,,,3,8,8,9,7,8,3,6,1,5,4,2,2,1,,,,33,,2,4,2,2,1,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2,2,3,3,5,4,2,3,1,,1,,1,,1,1,,,,,2,1,2,7,2,3,4,1,1,2,,5,,,,,,,,,,,,,2,2,2,2,1,85,3.8,50,50,55,38,2,3,1,,,,,4,2,,3,3,2,1,3,1,1,,,,,2,,1,,1,1,,,,1,,,1,,,1,,1,,,,,
